C.D.S.  -  SIMBAD4 rel 1.8  -  2024.02.16CET12:23:02

coord 194.87996 27.96504 (FK5, 2000, 2000), radius: 30 arcmin
-------------------------------------------------------------

Number of objects : 3634

 #  |dist(asec)|             identifier              |typ|       coord1 (ICRS,J2000/2000)        |  redshift  |  Mag B  |         morph. type         |       ang. size       
----|----------|-------------------------------------|---|---------------------------------------|------------|---------|-----------------------------|-----------------------
145 |    164.25|CAIRNS J125935.57+275520.5           |GiC|12 59 35.57 +27 55 20.5                |0.2512      |     ~   |~ ~ ~                        |    ~     ~            
146 |    165.08|[EDG2007] 619                        |G  |12 59 42.09 +27 56 34.2                |~           |20.083   |~ ~ ~                        |    ~     ~            
147 |    165.38|[CTM2010] 1041508                    |G  |12 59 43.0518 +27 58 45.678            |0.02450     |     ~   |~ ~ ~                        |    ~     ~            
148 |    166.29|[AGO2007] 210                        |PN?|12 59 40.49 +27 56 02.5                |~           |     ~   |~ ~ ~                        |    ~     ~            
149 |    166.51|[CTM2010] 196829                     |?  |12 59 43.3704 +27 57 13.173            |~           |     ~   |~ ~ ~                        |    ~     ~            
150 |    168.84|SDSS J125943.95+275802.0             |G  |12 59 43.9 +27 58 02                   |0.02644     |     ~   |dE D 2010ApJ...723..251C     |    ~     ~            
151 |    171.31|[MGH2010] J125941.52+275937.2        |G? |12 59 41.52 +27 59 37.2                |~           |     ~   |~ ~ ~                        |    ~     ~            
152 |    172.56|[CG99] SA1656-4                      |GrG|12 59 44.1 +27 58 17                   |~           |24.62    |~ ~ ~                        |    ~     ~            
153 |    172.81|[UBM96] 14                           |G  |12 59 34.2 +27 55 06                   |~           |     ~   |~ ~ ~                        |    ~     ~            
154 |    173.25|[EDG2007] 378                        |G  |12 59 24.31 +28 00 21.5                |~           |24.134   |~ ~ ~                        |    ~     ~            
155 |    174.09|LEDA 44652                           |G  |12 59 44.2059500952 +27 57 30.335521572|0.02303     |16.982   |S0 D 2008A&A...490..923M     |0.313 0.169            
156 |    174.80|[UBM96] 15L                          |G  |12 59 33.0 +27 55 01                   |~           |     ~   |~ ~ ~                        |    ~     ~            
157 |    176.08|[MGH2010] J125944.36+275817.8        |G? |12 59 44.36 +27 58 17.8                |~           |     ~   |~ ~ ~                        |    ~     ~            
158 |    176.16|[EDG2007] 632                        |*  |12 59 27.9544071840 +27 55 03.285155424|~           |23.859   |~ ~ ~                        |    ~     ~            
159 |    176.20|[MGH2010] J125942.90+275917.7        |G? |12 59 42.90 +27 59 17.7                |~           |     ~   |~ ~ ~                        |    ~     ~            
160 |    179.39|[EDG2007] 510                        |G  |12 59 40.04 +27 55 38.4                |~           |20.96    |~ ~ ~                        |    ~     ~            
161 |    180.28|GMP 3193                             |G  |12 59 44.762 +27 58 07.19              |0.03292     |21.21    |dE D 2010ApJ...723..251C     |    ~     ~            
162 |    181.38|[AGO2007] 222                        |PN?|12 59 33.60 +27 54 55.6                |~           |     ~   |~ ~ ~                        |    ~     ~            
163 |    182.40|GMP 3261                             |G  |12 59 40.0 +27 55 34                   |~           |     ~   |~ ~ ~                        |    ~     ~            
164 |    183.33|[HVH2010] Comai J125944.890+275819.99|G  |12 59 44.8896 +27 58 19.992            |~           |     ~   |~ ~ ~                        |    ~     ~            
165 |    184.18|[EDG2007] 219                        |*  |12 59 35.9754215256 +28 00 47.071387764|~           |20.67    |~ ~ ~                        |    ~     ~            
166 |    185.39|GMP 3595                             |GiC|12 59 17.47865 +27 57 17.1510          |0.15880     |20.722   |~ ~ ~                        |    ~     ~            
167 |    187.02|Ton 686                              |WD*|12 59 34.6073437512 +27 54 52.697866932|~           |17       |~ ~ ~                        |    ~     ~            
168 |    188.39|CAIRNS J125943.54+275619.8           |G  |12 59 43.533 +27 56 20.66              |0.0236      |20.57    |~ ~ ~                        |    ~     ~            
169 |    188.66|GMP 3569                             |G  |12 59 19.3 +27 59 38                   |0.0315      |     ~   |~ ~ ~                        |    ~     ~            
